pn_id,part_number,slug,brand,equipment,confirmed_models,category,description,original_description_en,original_description_cn,model_evidence,verification,confidence,evidence_summary,source_files,page_h1,seo_title,meta_description,canonical_path,cta_text,rfq_path,import_status,last_verified_date
PN-000179,445502937,445502937,Sandvik / EIMCO,Underground LHD,ED10,Fastener,六角头螺栓,,六角头螺栓,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 17; ED10 parts manual page 176, item 12",伊泰LS190-ED10配件手册.pdf,445502937 — 六角头螺栓,445502937 六角头螺栓 | ED10 Spare Part,Verified part number 445502937: 六角头螺栓 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/445502937,Request Quote,/rfq/new?partNumber=445502937,PUBLISHED_READY,2026-09-18
PN-000148,445402939,445402939,Sandvik / EIMCO,Underground LHD,ED10,Fastener,六角头螺栓,,六角头螺栓,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 18",伊泰LS190-ED10配件手册.pdf,445402939 — 六角头螺栓,445402939 六角头螺栓 | ED10 Spare Part,Verified part number 445402939: 六角头螺栓 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/445402939,Request Quote,/rfq/new?partNumber=445402939,PUBLISHED_READY,2026-09-18
PN-000172,445502843,445502843,Sandvik / EIMCO,Underground LHD,ED10,Fastener,六角头螺栓,,六角头螺栓,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 19; ED10 parts manual page 49, item 30; ED10 parts manual page 173, item 21; ED10 parts manual page 176, item 30; ED10 parts manual page 183, item 28; ED10 parts manual page 230, item 1; ED10 parts manual page 235, item 1; ED10 parts manual page 254, item 1; ED10 parts manual page 275, item 7; ED10 parts manual page 317, item 5",伊泰LS190-ED10配件手册.pdf,445502843 — 六角头螺栓,445502843 六角头螺栓 | ED10 Spare Part,Verified part number 445502843: 六角头螺栓 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/445502843,Request Quote,/rfq/new?partNumber=445502843,PUBLISHED_READY,2026-09-18
PN-000526,A2U220-241041,a2u220-241041,Sandvik / EIMCO,Underground LHD,ED10,Other,后冷器/阻火器腔室,,后冷器/阻火器腔室 | A/C/改进型阻火器,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 1; ED10 parts manual page 69, item 1",伊泰LS190-ED10配件手册.pdf,A2U220-241041 — 后冷器/阻火器腔室,A2U220-241041 后冷器/阻火器腔室 | ED10 Spare Part,Verified part number A2U220-241041: 后冷器/阻火器腔室 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on Kuangp,/part-number/a2u220-241041,Request Quote,/rfq/new?partNumber=A2U220-241041,PUBLISHED_READY,2026-09-18
PN-000527,A2U220-241042,a2u220-241042,Sandvik / EIMCO,Underground LHD,ED10,Other,进口阻火器罩,,进口阻火器罩 | 进口/阻火器罩,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 2; ED10 parts manual page 35, item 22; ED10 parts manual page 69, item 2",伊泰LS190-ED10配件手册.pdf,A2U220-241042 — 进口阻火器罩,A2U220-241042 进口阻火器罩 | ED10 Spare Part,Verified part number A2U220-241042: 进口阻火器罩 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiY,/part-number/a2u220-241042,Request Quote,/rfq/new?partNumber=A2U220-241042,PUBLISHED_READY,2026-09-18
PN-001042,C2A1R0716,c2a1r0716,Sandvik / EIMCO,Underground LHD,ED10,Filter,油过滤器,,油过滤器,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 3",伊泰LS190-ED10配件手册.pdf,C2A1R0716 — 油过滤器,C2A1R0716 油过滤器 | ED10 Spare Part,Verified part number C2A1R0716: 油过滤器 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/c2a1r0716,Request Quote,/rfq/new?partNumber=C2A1R0716,PUBLISHED_READY,2026-09-18
PN-000673,A2U220-670033,a2u220-670033,Sandvik / EIMCO,Underground LHD,ED10,Other,空气启动装置组,,空气启动装置组,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 4",伊泰LS190-ED10配件手册.pdf,A2U220-670033 — 空气启动装置组,A2U220-670033 空气启动装置组 | ED10 Spare Part,Verified part number A2U220-670033: 空气启动装置组 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on Kuangpei,/part-number/a2u220-670033,Request Quote,/rfq/new?partNumber=A2U220-670033,PUBLISHED_READY,2026-09-18
PN-000511,A2U220-212010,a2u220-212010,Sandvik / EIMCO,Underground LHD,ED10,Seal/Gasket,改进垫片,,改进垫片 | 垫片，改进,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 5; ED10 parts manual page 114, item 4",伊泰LS190-ED10配件手册.pdf,A2U220-212010 — 改进垫片,A2U220-212010 改进垫片 | ED10 Spare Part,Verified part number A2U220-212010: 改进垫片 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun,/part-number/a2u220-212010,Request Quote,/rfq/new?partNumber=A2U220-212010,PUBLISHED_READY,2026-09-18
PN-000672,A2U220-610011,a2u220-610011,Sandvik / EIMCO,Underground LHD,ED10,Other,空气压缩机组,,空气压缩机组,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 6",伊泰LS190-ED10配件手册.pdf,A2U220-610011 — 空气压缩机组,A2U220-610011 空气压缩机组 | ED10 Spare Part,Verified part number A2U220-610011: 空气压缩机组 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiY,/part-number/a2u220-610011,Request Quote,/rfq/new?partNumber=A2U220-610011,PUBLISHED_READY,2026-09-18
PN-000631,A2U220-510038,a2u220-510038,Sandvik / EIMCO,Underground LHD,ED10,Hydraulic,泵及安装组,,泵及安装组,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 7",伊泰LS190-ED10配件手册.pdf,A2U220-510038 — 泵及安装组,A2U220-510038 泵及安装组 | ED10 Spare Part,Verified part number A2U220-510038: 泵及安装组 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYu,/part-number/a2u220-510038,Request Quote,/rfq/new?partNumber=A2U220-510038,PUBLISHED_READY,2026-09-18
PN-001051,C2A5P8245,c2a5p8245,Sandvik / EIMCO,Underground LHD,ED10,Fastener,平垫圈,,平垫圈,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 8",伊泰LS190-ED10配件手册.pdf,C2A5P8245 — 平垫圈,C2A5P8245 平垫圈 | ED10 Spare Part,Verified part number C2A5P8245: 平垫圈 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/c2a5p8245,Request Quote,/rfq/new?partNumber=C2A5P8245,PUBLISHED_READY,2026-09-18
PN-000911,AFP1008-20,afp1008-20,Sandvik / EIMCO,Underground LHD,ED10,Electrical,托架，油压力表,,托架，油压力表,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 9",伊泰LS190-ED10配件手册.pdf,AFP1008-20 — 托架，油压力表,AFP1008-20 托架，油压力表 | ED10 Spare Part,Verified part number AFP1008-20: 托架，油压力表 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun,/part-number/afp1008-20,Request Quote,/rfq/new?partNumber=AFP1008-20,PUBLISHED_READY,2026-09-18
PN-000591,A2U220-294004,a2u220-294004,Sandvik / EIMCO,Underground LHD,ED10,Structure,油管路安装,,油管路安装,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 10",伊泰LS190-ED10配件手册.pdf,A2U220-294004 — 油管路安装,A2U220-294004 油管路安装 | ED10 Spare Part,Verified part number A2U220-294004: 油管路安装 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYu,/part-number/a2u220-294004,Request Quote,/rfq/new?partNumber=A2U220-294004,PUBLISHED_READY,2026-09-18
PN-001760,D71-121212,d71-121212,Sandvik / EIMCO,Underground LHD,ED10,Other,三通,,三通,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 11",伊泰LS190-ED10配件手册.pdf,D71-121212 — 三通,D71-121212 三通 | ED10 Spare Part,Verified part number D71-121212: 三通 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d71-121212,Request Quote,/rfq/new?partNumber=D71-121212,PUBLISHED_READY,2026-09-18
PN-000869,A2U913-472011,a2u913-472011,Sandvik / EIMCO,Underground LHD,ED10,Electrical,压力表,,压力表,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 12",伊泰LS190-ED10配件手册.pdf,A2U913-472011 — 压力表,A2U913-472011 压力表 | ED10 Spare Part,Verified part number A2U913-472011: 压力表 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/a2u913-472011,Request Quote,/rfq/new?partNumber=A2U913-472011,PUBLISHED_READY,2026-09-18
PN-001061,C2A7X3344,c2a7x3344,Sandvik / EIMCO,Underground LHD,ED10,Fastener,六角头螺栓,,六角头螺栓,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 13",伊泰LS190-ED10配件手册.pdf,C2A7X3344 — 六角头螺栓,C2A7X3344 六角头螺栓 | ED10 Spare Part,Verified part number C2A7X3344: 六角头螺栓 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/c2a7x3344,Request Quote,/rfq/new?partNumber=C2A7X3344,PUBLISHED_READY,2026-09-18
PN-001717,D53-1212,d53-1212,Sandvik / EIMCO,Underground LHD,ED10,Hose/Fitting,弯头,,弯头,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 14; ED10 parts manual page 214, item 18; ED10 parts manual page 218, item 10; ED10 parts manual page 237, item 22; ED10 parts manual page 243, item 7; ED10 parts manual page 251, item 37; ED10 parts manual page 285, item 9",伊泰LS190-ED10配件手册.pdf,D53-1212 — 弯头,D53-1212 弯头 | ED10 Spare Part,Verified part number D53-1212: 弯头 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d53-1212,Request Quote,/rfq/new?partNumber=D53-1212,PUBLISHED_READY,2026-09-18
PN-001589,D2900-12-110-17,d2900-12-110-17,Sandvik / EIMCO,Underground LHD,ED10,Hydraulic,液压软管,,液压软管,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 15",伊泰LS190-ED10配件手册.pdf,D2900-12-110-17 — 液压软管,D2900-12-110-17 液压软管 | ED10 Spare Part,Verified part number D2900-12-110-17: 液压软管 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiY,/part-number/d2900-12-110-17,Request Quote,/rfq/new?partNumber=D2900-12-110-17,PUBLISHED_READY,2026-09-18
PN-001763,D74-121717,d74-121717,Sandvik / EIMCO,Underground LHD,ED10,Other,三通,,三通,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 16",伊泰LS190-ED10配件手册.pdf,D74-121717 — 三通,D74-121717 三通 | ED10 Spare Part,Verified part number D74-121717: 三通 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d74-121717,Request Quote,/rfq/new?partNumber=D74-121717,PUBLISHED_READY,2026-09-18
PN-001758,D67-2,d67-2,Sandvik / EIMCO,Underground LHD,ED10,Other,插座,,插座,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 17",伊泰LS190-ED10配件手册.pdf,D67-2 — 插座,D67-2 插座 | ED10 Spare Part,Verified part number D67-2: 插座 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d67-2,Request Quote,/rfq/new?partNumber=D67-2,PUBLISHED_READY,2026-09-18
PN-000587,A2U220-291247,a2u220-291247,Sandvik / EIMCO,Underground LHD,ED10,Engine,托架，添加发动机油,,托架，添加发动机油,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 18",伊泰LS190-ED10配件手册.pdf,A2U220-291247 — 托架，添加发动机油,A2U220-291247 托架，添加发动机油 | ED10 Spare Part,Verified part number A2U220-291247: 托架，添加发动机油 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on Kuangp,/part-number/a2u220-291247,Request Quote,/rfq/new?partNumber=A2U220-291247,PUBLISHED_READY,2026-09-18
PN-000586,A2U220-291243,a2u220-291243,Sandvik / EIMCO,Underground LHD,ED10,Structure,托架，快速加油,,托架，快速加油,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 19",伊泰LS190-ED10配件手册.pdf,A2U220-291243 — 托架，快速加油,A2U220-291243 托架，快速加油 | ED10 Spare Part,Verified part number A2U220-291243: 托架，快速加油 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on Kuangpei,/part-number/a2u220-291243,Request Quote,/rfq/new?partNumber=A2U220-291243,PUBLISHED_READY,2026-09-18
PN-001048,C2A4W-7594,c2a4w-7594,Sandvik / EIMCO,Underground LHD,ED10,Other,套管,,套管,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 20",伊泰LS190-ED10配件手册.pdf,C2A4W-7594 — 套管,C2A4W-7594 套管 | ED10 Spare Part,Verified part number C2A4W-7594: 套管 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/c2a4w-7594,Request Quote,/rfq/new?partNumber=C2A4W-7594,PUBLISHED_READY,2026-09-18
PN-001066,C2A9Y9274,c2a9y9274,Sandvik / EIMCO,Underground LHD,ED10,Other,飞轮,,飞轮,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 21",伊泰LS190-ED10配件手册.pdf,C2A9Y9274 — 飞轮,C2A9Y9274 飞轮 | ED10 Spare Part,Verified part number C2A9Y9274: 飞轮 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/c2a9y9274,Request Quote,/rfq/new?partNumber=C2A9Y9274,PUBLISHED_READY,2026-09-18
PN-001749,D605-74,d605-74,Sandvik / EIMCO,Underground LHD,ED10,Hose/Fitting,软管安装，推进,,软管安装，推进,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 22; ED10 parts manual page 35, item 13",伊泰LS190-ED10配件手册.pdf,D605-74 — 软管安装，推进,D605-74 软管安装，推进 | ED10 Spare Part,Verified part number D605-74: 软管安装，推进 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d605-74,Request Quote,/rfq/new?partNumber=D605-74,PUBLISHED_READY,2026-09-18
PN-001043,C2A1R0751,c2a1r0751,Sandvik / EIMCO,Underground LHD,ED10,Engine,燃油过滤器，辅助,,燃油过滤器，辅助,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 23",伊泰LS190-ED10配件手册.pdf,C2A1R0751 — 燃油过滤器，辅助,C2A1R0751 燃油过滤器，辅助 | ED10 Spare Part,Verified part number C2A1R0751: 燃油过滤器，辅助 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun,/part-number/c2a1r0751,Request Quote,/rfq/new?partNumber=C2A1R0751,PUBLISHED_READY,2026-09-18
PN-000590,A2U220-294003,a2u220-294003,Sandvik / EIMCO,Underground LHD,ED10,Other,RESTRICTOR OIL SAFETY CIRCUIT,RESTRICTOR OIL SAFETY CIRCUIT | RESTRICTOR,节气门,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 24; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 79; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 238",SANDVIK LS 190-312 PARTS20260228.xlsx | SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx | 伊泰LS190-ED10配件手册.pdf,A2U220-294003 — RESTRICTOR OIL SAFETY CIRCUIT,A2U220-294003 RESTRICTOR OIL SAFETY CIRCUIT | ED10 Spare Par,Verified part number A2U220-294003: RESTRICTOR OIL SAFETY CIRCUIT for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts,/part-number/a2u220-294003,Request Quote,/rfq/new?partNumber=A2U220-294003,PUBLISHED_READY,2026-09-18
PN-001516,D15-0207,d15-0207,Sandvik / EIMCO,Underground LHD,ED10,Hose/Fitting,接头,,接头,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 25; ED10 parts manual page 57, item 13; ED10 parts manual page 203, item 8; ED10 parts manual page 214, item 13",伊泰LS190-ED10配件手册.pdf,D15-0207 — 接头,D15-0207 接头 | ED10 Spare Part,Verified part number D15-0207: 接头 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d15-0207,Request Quote,/rfq/new?partNumber=D15-0207,PUBLISHED_READY,2026-09-18
PN-001546,D17-47,d17-47,Sandvik / EIMCO,Underground LHD,ED10,Hose/Fitting,弯头,,弯头 | 90度弯头 | 90 度弯头,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 26; ED10 parts manual page 24, item 15; ED10 parts manual page 35, item 19; ED10 parts manual page 77, item 2; ED10 parts manual page 203, item 1; ED10 parts manual page 237, item 8; ED10 parts manual page 294, item 12",伊泰LS190-ED10配件手册.pdf,D17-47 — 弯头,D17-47 弯头 | ED10 Spare Part,Verified part number D17-47: 弯头 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d17-47,Request Quote,/rfq/new?partNumber=D17-47,PUBLISHED_READY,2026-09-18
PN-001741,D60-4,d60-4,Sandvik / EIMCO,Underground LHD,ED10,Other,塞子,,塞子,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 27; ED10 parts manual page 35, item 40",伊泰LS190-ED10配件手册.pdf,D60-4 — 塞子,D60-4 塞子 | ED10 Spare Part,Verified part number D60-4: 塞子 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d60-4,Request Quote,/rfq/new?partNumber=D60-4,PUBLISHED_READY,2026-09-18
PN-001047,C2A4P5153,c2a4p5153,Sandvik / EIMCO,Underground LHD,ED10,Other,塞子,,塞子,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 28",伊泰LS190-ED10配件手册.pdf,C2A4P5153 — 塞子,C2A4P5153 塞子 | ED10 Spare Part,Verified part number C2A4P5153: 塞子 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/c2a4p5153,Request Quote,/rfq/new?partNumber=C2A4P5153,PUBLISHED_READY,2026-09-18
PN-001520,D15-1217,d15-1217,Sandvik / EIMCO,Underground LHD,ED10,Hose/Fitting,接头,,接头,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 29; ED10 parts manual page 251, item 24",伊泰LS190-ED10配件手册.pdf,D15-1217 — 接头,D15-1217 接头 | ED10 Spare Part,Verified part number D15-1217: 接头 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d15-1217,Request Quote,/rfq/new?partNumber=D15-1217,PUBLISHED_READY,2026-09-18
PN-000622,A2U220-472051,a2u220-472051,Sandvik / EIMCO,Underground LHD,"ED10, LS190",Engine,"GAUGE, FUEL PRESSURE","GAUGE, FUEL PRESSURE | FUEL GAUGE 0-600KPA -",燃油压力表,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 30; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 149; Purchase Order-Shanxi.xlsx, Sheet1, row 28",Purchase Order-Shanxi.xlsx | SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx | 伊泰LS190-ED10配件手册.pdf,"A2U220-472051 — GAUGE, FUEL PRESSURE","A2U220-472051 GAUGE, FUEL PRESSURE | ED10, LS190 Spare Part","Verified part number A2U220-472051: GAUGE, FUEL PRESSURE for ED10, LS190. Check equipment compatibility and submit an RFQ to qualified mining spare parts s",/part-number/a2u220-472051,Request Quote,/rfq/new?partNumber=A2U220-472051,PUBLISHED_READY,2026-09-18
PN-001665,D38-44,d38-44,Sandvik / EIMCO,Underground LHD,ED10,Hose/Fitting,弯头,,弯头,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 8, item 31",伊泰LS190-ED10配件手册.pdf,D38-44 — 弯头,D38-44 弯头 | ED10 Spare Part,Verified part number D38-44: 弯头 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/d38-44,Request Quote,/rfq/new?partNumber=D38-44,PUBLISHED_READY,2026-09-18
