pn_id,part_number,brand,equipment,model,model_evidence,verification,evidence_summary,relation_status
PN-000527,A2U220-241042,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 2; ED10 parts manual page 35, item 22; ED10 parts manual page 69, item 2",ACTIVE
PN-001042,C2A1R0716,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 3",ACTIVE
PN-000673,A2U220-670033,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 4",ACTIVE
PN-000511,A2U220-212010,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 5; ED10 parts manual page 114, item 4",ACTIVE
PN-000672,A2U220-610011,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 6",ACTIVE
PN-000631,A2U220-510038,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 7",ACTIVE
PN-001051,C2A5P8245,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 8",ACTIVE
PN-000911,AFP1008-20,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 9",ACTIVE
PN-000591,A2U220-294004,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 10",ACTIVE
PN-001760,D71-121212,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 11",ACTIVE
PN-000869,A2U913-472011,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 12",ACTIVE
PN-001061,C2A7X3344,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 13",ACTIVE
PN-001717,D53-1212,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 14; ED10 parts manual page 214, item 18; ED10 parts manual page 218, item 10; ED10 parts manual page 237, item 22; ED10 parts manual page 243, item 7; ED10 parts manual page 251, item 37; ED10 parts manual page 285, item 9",ACTIVE
PN-001589,D2900-12-110-17,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 15",ACTIVE
PN-001763,D74-121717,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 16",ACTIVE
PN-001758,D67-2,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 17",ACTIVE
PN-000587,A2U220-291247,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 18",ACTIVE
PN-000586,A2U220-291243,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 19",ACTIVE
PN-001048,C2A4W-7594,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 20",ACTIVE
PN-001066,C2A9Y9274,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 21",ACTIVE
PN-001749,D605-74,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 22; ED10 parts manual page 35, item 13",ACTIVE
PN-001043,C2A1R0751,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 23",ACTIVE
PN-000590,A2U220-294003,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 24; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 79; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 238",ACTIVE
PN-001516,D15-0207,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 25; ED10 parts manual page 57, item 13; ED10 parts manual page 203, item 8; ED10 parts manual page 214, item 13",ACTIVE
PN-001546,D17-47,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 26; ED10 parts manual page 24, item 15; ED10 parts manual page 35, item 19; ED10 parts manual page 77, item 2; ED10 parts manual page 203, item 1; ED10 parts manual page 237, item 8; ED10 parts manual page 294, item 12",ACTIVE
PN-001741,D60-4,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 27; ED10 parts manual page 35, item 40",ACTIVE
PN-001047,C2A4P5153,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 28",ACTIVE
PN-001520,D15-1217,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 29; ED10 parts manual page 251, item 24",ACTIVE
PN-000622,A2U220-472051,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 30; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 149; Purchase Order-Shanxi.xlsx, Sheet1, row 28",ACTIVE
PN-000622,A2U220-472051,Sandvik / EIMCO,Underground LHD,LS190,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 30; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 149; Purchase Order-Shanxi.xlsx, Sheet1, row 28",ACTIVE
PN-001665,D38-44,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 31",ACTIVE
PN-001505,CN3-0904,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 32",ACTIVE
PN-001049,C2A4W8661,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 33",ACTIVE
PN-001740,D60-12,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 34; ED10 parts manual page 35, item 12",ACTIVE
PN-000194,450062508,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 35; ED10 parts manual page 13, item 16; ED10 parts manual page 18, item 12; ED10 parts manual page 26, item 13; ED10 parts manual page 39, item 29; ED10 parts manual page 42, item 8; ED10 parts manual page 46, item 2; ED10 parts manual page 49, item 15; ED10 parts manual page 57, item 21; ED10 parts manual page 67, item 15; ED10 parts manual page 69, item 12; ED10 parts manual page 173, item 22; ED10 parts manual page 183, item 33; ED10 parts manual page 192, item 20; ED10 parts manual page 275, item 9; ED10 parts manual page 283, item 7",ACTIVE
PN-000197,450081022,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 36; ED10 parts manual page 13, item 17; ED10 parts manual page 18, item 13; ED10 parts manual page 26, item 14; ED10 parts manual page 28, item 16; ED10 parts manual page 46, item 3; ED10 parts manual page 49, item 16; ED10 parts manual page 67, item 16; ED10 parts manual page 173, item 19; ED10 parts manual page 176, item 21; ED10 parts manual page 176, item 31; ED10 parts manual page 183, item 16; ED10 parts manual page 183, item 36; ED10 parts manual page 192, item 21; ED10 parts manual page 275, item 10; ED10 parts manual page 285, item 2; ED10 parts manual page 294, item 3",ACTIVE
PN-000166,445502801,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 37; ED10 parts manual page 42, item 7; ED10 parts manual page 67, item 14; ED10 parts manual page 183, item 39; ED10 parts manual page 283, item 10; ED10 parts manual page 285, item 1",ACTIVE
PN-000588,A2U220-291248,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 38",ACTIVE
PN-001598,D2900-12-50-17,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 39",ACTIVE
PN-001659,D37-1212,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 40; ED10 parts manual page 35, item 44; ED10 parts manual page 44, item 5",ACTIVE
PN-000738,A2U900-293002,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 41; ED10 parts manual page 30, item 7; ED10 parts manual page 251, item 16; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 483",ACTIVE
PN-001050,C2A5L2952,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 42",ACTIVE
PN-001777,DA4-1212,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 43; ED10 parts manual page 13, item 8",ACTIVE
PN-001544,D17-27,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 44; ED10 parts manual page 203, item 13; ED10 parts manual page 211, item 4; ED10 parts manual page 262, item 11; ED10 parts manual page 294, item 10; ED10 parts manual page 296, item 11",ACTIVE
PN-001059,C2A7C0874,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 9, item 45",ACTIVE
PN-000160,445502759,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 9, item 46; ED10 parts manual page 67, item 8; ED10 parts manual page 112, item 11",ACTIVE
PN-000190,450061617,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 9, item 47; ED10 parts manual page 42, item 6; ED10 parts manual page 279, item 17; ED10 parts manual page 300, item 4",ACTIVE
PN-000201,450081120,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 9, item 48; ED10 parts manual page 18, item 24; ED10 parts manual page 26, item 15; ED10 parts manual page 35, item 41; ED10 parts manual page 39, item 27; ED10 parts manual page 42, item 4; ED10 parts manual page 44, item 21; ED10 parts manual page 67, item 11; ED10 parts manual page 77, item 5; ED10 parts manual page 279, item 15",ACTIVE
PN-000210,455309030,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 9, item 49",ACTIVE
PN-000164,445502795,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 9, item 50; ED10 parts manual page 57, item 20; ED10 parts manual page 275, item 4",ACTIVE
PN-000167,445502802,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 9, item 51; ED10 parts manual page 176, item 22; ED10 parts manual page 176, item 32; ED10 parts manual page 183, item 15; ED10 parts manual page 183, item 34",ACTIVE
PN-000507,A2U220-211043-0,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 9, item 52",ACTIVE
PN-000533,A2U220-250133,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 1",ACTIVE
PN-000688,A2U900-171567,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 2",ACTIVE
PN-000722,A2U900-250134,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 3; ED10 parts manual page 15, item 1",ACTIVE
PN-000723,A2U900-250135,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 4; ED10 parts manual page 15, item 2",ACTIVE
PN-000724,A2U900-250151,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 5",ACTIVE
PN-000899,A2U936-255187,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 6",ACTIVE
PN-001757,D67-12,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 7",ACTIVE
PN-000897,A2U936-255184,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 9; ED10 parts manual page 28, item 4",ACTIVE
PN-001511,D115-19,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 10; ED10 parts manual page 35, item 28",ACTIVE
PN-001849,P2HSS1600N,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 11; ED10 parts manual page 35, item 31; ED10 parts manual page 44, item 11",ACTIVE
PN-000542,A2U220-252042,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 12; ED10 parts manual page 15, item 4",ACTIVE
PN-000026,A2U900-191929,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 13; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 54; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 5",ACTIVE
PN-000165,445502799,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 14; ED10 parts manual page 18, item 11; ED10 parts manual page 24, item 9; ED10 parts manual page 28, item 14; ED10 parts manual page 69, item 11; ED10 parts manual page 275, item 5",ACTIVE
PN-000191,450061619,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 15; ED10 parts manual page 22, item 3; ED10 parts manual page 230, item 2; ED10 parts manual page 235, item 2; ED10 parts manual page 254, item 2; ED10 parts manual page 275, item 8",ACTIVE
PN-000217,455669036,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 13, item 18; ED10 parts manual page 183, item 23; ED10 parts manual page 279, item 22",ACTIVE
PN-000534,A2U220-250137,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 15, item 3",ACTIVE
PN-000535,A2U220-251089,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 1",ACTIVE
PN-000553,A2U220-256035,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 2",ACTIVE
PN-000731,A2U900-255302,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 3",ACTIVE
PN-000898,A2U936-255185,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 4",ACTIVE
PN-000910,AFP1004-23,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 5",ACTIVE
PN-000913,AFP1009-5,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 6",ACTIVE
PN-000919,B2D12168,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 7; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 6",ACTIVE
PN-001517,D15-0209,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 8",ACTIVE
PN-001682,D50-0909,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 9; ED10 parts manual page 39, item 15",ACTIVE
PN-001789,DA82-090909,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 10",ACTIVE
PN-000059,A2U220-254090,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 14; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 120; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 7; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 51; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 68",ACTIVE
PN-000031,A2U220-256034,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 15; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 71",ACTIVE
PN-000730,A2U900-254084,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 16; LS_190_-REQUIREMENT20260107.xlsx, Sheet1, row 26; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 72",ACTIVE
PN-000032,A2U900-256033,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 17; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 73",ACTIVE
PN-000033,AFP1006-4,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 18; 山特维克ls190-20260806.xlsx, Sheet1, row 6; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 74; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 16; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 52; Purchase Order-Shanxi.xlsx, Sheet1, row 12; Purchase Order-Shanxi.xlsx, Sheet1, row 16; Purchase Order-Shanxi.xlsx, Sheet1, row 20",ACTIVE
PN-000033,AFP1006-4,Sandvik / EIMCO,Underground LHD,LS190,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 18; 山特维克ls190-20260806.xlsx, Sheet1, row 6; SANDVIK LS 190-312 PARTS20260228.xlsx, Sheet1, row 74; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 16; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 52; Purchase Order-Shanxi.xlsx, Sheet1, row 12; Purchase Order-Shanxi.xlsx, Sheet1, row 16; Purchase Order-Shanxi.xlsx, Sheet1, row 20",ACTIVE
PN-001785,DA81-090909,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 19",ACTIVE
PN-001534,D17-0209,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 20",ACTIVE
PN-000157,445502660,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 21; ED10 parts manual page 71, item 5",ACTIVE
PN-000193,450062506,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 22; ED10 parts manual page 20, item 11; ED10 parts manual page 22, item 4; ED10 parts manual page 67, item 10",ACTIVE
PN-000199,450081116,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 23; ED10 parts manual page 49, item 6; ED10 parts manual page 71, item 6; ED10 parts manual page 184, item 51; ED10 parts manual page 203, item 23; ED10 parts manual page 289, item 2",ACTIVE
PN-000755,A2U900-392169,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 25",ACTIVE
PN-001748,D605-0906,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 18, item 26",ACTIVE
PN-000539,A2U220-252036,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 1",ACTIVE
PN-000536,A2U220-251090,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 2",ACTIVE
PN-000729,A2U900-254082,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 3",ACTIVE
PN-000544,A2U220-254088,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 4; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 8",ACTIVE
PN-000545,A2U220-254089,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 5; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 9",ACTIVE
PN-000356,A2U130-171207,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 6",ACTIVE
PN-000887,A2U921-171178,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 7",ACTIVE
PN-000537,A2U220-251091,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 8",ACTIVE
PN-000725,A2U900-252029,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 9",ACTIVE
PN-000159,445502755,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 10",ACTIVE
PN-000749,A2U900-392103,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 12",ACTIVE
PN-000750,A2U900-392104,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 20, item 13; ED10 parts manual page 80, item 18; ED10 parts manual page 180, item 3",ACTIVE
PN-000204,45502807,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 22, item 1",ACTIVE
PN-000174,445502845,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 22, item 2; ED10 parts manual page 279, item 14; ED10 parts manual page 317, item 7",ACTIVE
PN-000546,A2U220-254091,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 22, item 5; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 17",ACTIVE
PN-000547,A2U220-254092,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 22, item 6; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 18",ACTIVE
PN-000554,A2U220-257011,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 22, item 7; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 13",ACTIVE
PN-001737,D59-02,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 22, item 8; ED10 parts manual page 69, item 9",ACTIVE
PN-001739,D60-06,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 22, item 9",ACTIVE
PN-000551,A2U220-255301,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 24, item 1",ACTIVE
PN-000540,A2U220-252038,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 24, item 2",ACTIVE
PN-000550,A2U220-255296,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 24, item 3",ACTIVE
PN-000552,A2U220-255321,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 24, item 4",ACTIVE
PN-000549,A2U220-254095,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 24, item 5; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 11",ACTIVE
PN-000548,A2U220-254094,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 24, item 6",ACTIVE
PN-000679,A2U450-244083,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 24, item 7; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 15",ACTIVE
